3.45709,0.97453,0.39868,0.26074,0.3652,0.71069,1.06693,0.93889,0.51324,0.36117,0.34812,0.29518,0.19123,0.14716,0.0953,0.05174
1.45385,8.33193,0.99582,0.23802,0.22106,0.55963,0.82796,0.92473,0.84155,0.45621,0.35502,0.22274,0.18208,0.11765,0.05772,0.03942
0.1945,2.20321,11.1997,0.72902,0.26259,0.38233,0.47466,0.77267,0.92558,0.61454,0.39207,0.2309,0.12316,0.0858,0.05926,0.05023
0.14398,0.27947,3.30125,10.36846,0.8747,0.52756,0.46704,0.67358,0.73324,0.79592,0.43655,0.23854,0.10696,0.05996,0.02866,0.01975
0.26786,0.19929,0.23593,2.18261,3.67812,1.56887,1.03726,0.93102,0.79215,0.94673,0.66682,0.37529,0.15924,0.06552,0.06456,0.05141
0.63244,0.2765,0.14656,0.49423,1.78967,3.44958,1.96754,1.52276,1.28314,1.07163,1.03733,0.56318,0.27407,0.08921,0.0456,0.02937
0.84289,0.7862,0.52482,0.27407,0.95023,1.91518,2.91127,1.96276,1.48458,1.1934,0.95543,0.7024,0.36582,0.14675,0.07462,0.06911
0.91785,1.23793,0.94398,0.50361,0.69333,1.52261,1.89178,3.04196,2.11663,1.39435,1.04788,0.61669,0.43715,0.24557,0.14858,0.06053
0.57154,0.9995,1.2194,0.83947,0.88389,1.35616,1.74904,1.96085,2.8132,1.75464,1.23842,0.5091,0.38247,0.20295,0.14189,0.06636
0.34216,0.62567,0.81364,1.11089,0.94634,1.14049,1.33647,1.52366,1.64051,2.15138,1.27704,0.62377,0.31417,0.1503,0.13292,0.11648
0.55707,0.55773,0.76076,0.94392,1.15436,1.56954,1.40175,1.32378,1.73381,1.91528,1.96967,1.06708,0.47066,0.18214,0.13264,0.11181
1.07341,1.05265,0.67046,0.85072,1.01331,1.64958,1.7582,1.31805,1.4164,1.25795,1.59485,1.77607,0.83929,0.36101,0.18332,0.12731
1.35098,1.23978,0.76921,0.75836,0.79117,1.26744,1.4571,1.48626,1.25047,1.05593,1.05537,1.24885,1.43806,0.64801,0.40164,0.16762
0.91534,1.28796,0.98578,0.53659,0.57024,0.75534,1.0929,1.05053,0.98315,0.57058,0.65703,0.73077,0.75529,1.0382,0.38955,0.1871
0.46745,1.2223,0.93537,0.83243,0.28091,0.5359,0.50458,0.86655,0.92137,0.70489,0.56926,0.45909,0.82233,0.7527,0.92707,0.34557
0.32508,0.4054,0.54685,0.43572,0.17061,0.17003,0.27686,0.36942,0.3668,0.38977,0.3904,0.24648,0.19804,0.28033,0.2519,0.2237
